
PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	68	0	0	0
2	0		sleeping	  0	0	0	68	0	0	0	0
3	3		runnable	  7	14	0	1	7	14	14	0
4	0		runnable	  0	1	0	36	0	0	0	0
5	0		runnable	  0	1	0	36	0	0	0	0
6	0		runnable	  0	1	0	36	0	0	0	0
7	0		runnable	  0	1	0	36	0	0	0	0
8	0		runnable	  0	1	0	36	0	0	0	0
9	3		runnable	  7	10	0	2	8	16	10	0
10	3		runnable	  7	6	0	3	9	18	6	0
11	3		runnable	  7	2	0	4	10	20	2	0
12	2		running 	  5	18	0	5	11	20	0	0
13	2		runnable	  3	18	0	6	12	18	0	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	69	0	0	0
2	0		sleeping	  0	0	0	69	0	0	0	0
3	3		runnable	  7	15	0	1	7	14	15	0
4	0		runnable	  0	2	0	37	0	0	0	0
5	0		runnable	  0	2	0	37	0	0	0	0
6	0		runnable	  0	2	0	37	0	0	0	0
7	0		runnable	  0	2	0	37	0	0	0	0
8	0		runnable	  0	2	0	37	0	0	0	0
9	3		runnable	  7	11	0	2	8	16	11	0
10	3		runnable	  7	7	0	3	9	18	7	0
11	3		runnable	  7	3	0	4	10	20	3	0
12	2		running 	  6	18	0	5	11	21	0	0
13	2		runnable	  3	19	0	6	12	19	0	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	70	0	0	0
2	0		sleeping	  0	0	0	70	0	0	0	0
3	3		runnable	  7	16	0	1	7	14	16	0
4	0		runnable	  0	3	0	38	0	0	0	0
5	0		runnable	  0	3	0	38	0	0	0	0
6	0		runnable	  0	3	0	38	0	0	0	0
7	0		runnable	  0	3	0	38	0	0	0	0
8	0		runnable	  0	3	0	38	0	0	0	0
9	3		runnable	  7	12	0	2	8	16	12	0
10	3		runnable	  7	8	0	3	9	18	8	0
11	3		runnable	  7	4	0	4	10	20	4	0
