PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
6	0		runnable	  0	2	0	29	0	0	0	0
7	0		runnable	  0	2	0	29	0	0	0	0
8	0		runnable	  0	2	0	29	0	0	0	0
9	3		runnable	  7	3	0	2	8	16	3	0
10	2		running 	  6	14	0	3	9	17	0	0
11	2		runnable	  3	15	0	4	10	15	0	0
12	2		runnable	  3	13	0	5	11	13	0	0
13	2		runnable	  3	11	0	6	12	11	0	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	0		sleeping	  0	0	0	55	0	0	0	0
2	1		sleeping	  1	0	0	1	53	0	0	0
3	3		runnable	  7	8	0	1	7	14	8	0
4	0		runnable	  0	3	0	30	0	0	0	0
5	0		runnable	  0	3	0	30	0	0	0	0
6	0		runnable	  0	3	0	30	0	0	0	0
7	0		runnable	  0	3	0	30	0	0	0	0
8	0		runnable	  0	3	0	30	0	0	0	0
9	3		runnable	  7	4	0	2	8	16	4	0
10	2		running 	  7	14	0	3	9	18	0	0
11	2		runnable	  3	16	0	4	10	16	0	0
12	2		runnable	  3	14	0	5	11	14	0	0
13	2		runnable	  3	12	0	6	12	12	0	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	0		sleeping	  0	0	0	56	0	0	0	0
2	1		sleeping	  1	0	0	1	54	0	0	0
3	3		runnable	  7	9	0	1	7	14	9	0
4	0		sleeping	  0	3	0	31	0	0	0	0
5	0		sleeping	  0	3	0	31	0	0	0	0
6	0		sleeping	  0	3	0	31	0	0	0	0
7	0		sleeping	  0	3	0	31	0	0	0	0
8	0		sleeping	  0	3	0	31	0	0	0	0
9	3		runnable	  7	5	0	2	8	16	5	0
10	3		runnable	  7	1	0	3	9	18	1	0
11	2		running 	  4	16	0	4	10	17	0	0
12	2		runnable	  3	15	0	5	11	15	0	0
13	2		runnable	  3	13	0	6	12	13	0	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	0		sleeping	  0	0	0	57	0	0	0	0
2	1		sleeping	  1	0	0	1	55	0	0	0
3	3		runnable	  7	10	0	1	7	14	10	0
4	0		runnable	  0	1	0	32	0	0	0	0
5	0		runnable	  0	1	0	32	0	0	0	0
6	0		runnable	  0	1	0	32	0	0	0	0
7	0		runnable	  0	1	0	32	0	0	0	0
8	0		runnable	  0	1	0	32	0	0	0	0
9	3		runnable	  7	6	0	2	8	16	6	0
10	3		runnable	  7	2	0	3	9	18	2	0
11	2		running 	  5	16	0	4	10	18	0	0
12	2		runnable	  3	16	0	5	11	16	0	0
13	2		runnable	  3	14	0	6	12	14	0	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	0		sleeping	  0	0	0	58	0	0	0	0
2	1		sleeping	  1	0	0	1	56	0	0	0
3	3		runnable	  7	11	0	1	7	14	11	0
4	0		runnable	  0	2	0	33	0	0	0	0
5	0		runnable	  0	2	0	33	0	0	0	0
6	0		runnable	  0	2	0	33	0	0	0	0
7	0		runnable	  0	2	0	33	0	0	0	0
8	0		runnable	  0	2	0	33	0	0	0	0
9	3		runnable	  7	7	0	2	8	16	7	0
10	3		runnable	  7	3	0	3	9	18	3	0
11	2		running 	  6	16	0	4	10	19	0	0
12	2		runnable	  3	17	0	5	11	17	0	0
13	2		runnable	  3	15	0	6	12	15	0	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	0		sleeping	  0	0	0	59	0	0	0	0
2	1		sleeping	  1	0	0	1	57	0	0	0
3	3		runnable	  7	12	0	1	7	14	12	0
4	0		runnable	  0	3	0	34	0	0	0	0
5	0		runnable	  0	3	0	34	0	0	0	0
6	0		runnable	  0	3	0	34	0	0	0	0
7	0		runnable	  0	3	0	34	0	0	0	0
8	0		runnable	  0	3	0	34	0	0	0	0
9	3		runnable	  7	8	0	2	8	16	8	0
10	3		runnable	  7	4	0	3	9	18	4	0
11	2		running 	  7	16	0	4	10	20	0	0
12	2		runnable	  3	18	0	5	11	18	0	0
13	2		runnable	  3	16	0	6	12	16	0	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	0		sleeping	  0	0	0	60	0	0	0	0
2	1		sleeping	  1	0	0	1	58	0	0	0
3	3		runnable	  7	13	0	1	7	14	13	0
4	0		sleeping	  0	3	0	35	0	0	0	0
5	0		sleeping	  0	3	0	35	0	0	0	0
6	0		sleeping	  0	3	0	35	0	0	0	0
7	0		sleeping	  0	3	0	35	0	0	0	0
8	0		sleeping	  0	3	0	35	0	0	0	0
9	3		runnable	  7	9	0	2	8	16	9	0
10	3		runnable	  7	5	0	3	9	18	5	0
11	3		runnable	  7	1	0	4	10	20	1	0
12	2		running 	  4	18	0	5	11	19	0	0
13	2		runnable	  3	17	0	6	12	17	0	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	0		sleeping	  0	0	0	61	0	0	0	0
2	1		sleeping	  1	0	0	1	59	0	0	0
3	3		runnable	  7	14	0	1	7	14	14	0
4	0		runnable	  0	1	0	36	0	0	0	0
5	0		runnable	  0	1	0	36	0	0	0	0
6	0		runnable	  0	1	0	36	0	0	0	0
7	0		runnable	  0	1	0	36	0	0	0	0
8	0		runnable	  0	1	0	36	0	0	0	0
9	3		runnable	  7	10	0	2	8	16	10	0
10	3		runnable	  7	6	0	3	9	18	6	0
11	3		runnable	  7	2	0	4	10	20	2	0
12	2		running 	  5	18	0	5	11	20	0	0
13	2		runnable	  3	18	0	6	12	18	0	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	0		sleeping	  0	0	0	62	0	0	0	0
2	1		sleeping	  1	0	0	1	60	0	0	0
3	3		runnable	  7	15	0	1	7	14	15	0
4	0		runnable	  0	2	0	37	0	0	0	0
5	0		runnable	  0	2	0	37	0	0	0	0
6	0		runnable	  0	2	0	37	0	0	0	0
7	0		runnable	  0	2	0	37	0	0	0	0
8	0		runnable	  0	2	0	37	0	0	0	0
9	3		runnable	  7	11	0	2	8	16	11	0
10	3		runnable	  7	7	0	3	9	18	7	0
11	3		runnable	  7	3	0	4	10	20	3	0
12	2		running 	  6	18	0	5	11	21	0	0
13	2		runnable	  3	19	0	6	12	19	0	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	0		sleeping	  0	0	0	63	0	0	0	0
2	1		sleeping	  1	0	0	1	61	0	0	0
3	3		runnable	  7	16	0	1	7	14	16	0
4	0		runnable	  0	3	0	38	0	0	0	0
5	0		runnable	  0	3	0	38	0	0	0	0
6	0		runnable	  0	3	0	38	0	0	0	0
7	0		runnable	  0	3	0	38	0	0	0	0
8	0		runnable	  0	3	0	38	0	0	0	0
9	3		runnable	  7	12	0	2	8	16	12	0
10	3		runnable	  7	8	0	3	9	18	8	0
11	3		runnable	  7	4	0	4	10	20	4	0
12	2		running 	  7	18	0	5	11	22	0	0
13	2		runnable	  3	20	0	6	12	20	0	0

